id,name,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
70LcF31zb1H0PyJoS1Sx1r,Creep,Radiohead,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,238640,4
0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,Led Zeppelin,"['album rock', 'classic rock', 'hard rock', 'rock']",0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,333893,4
4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,Creedence Clearwater Revival,"['classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,140773,4
4KfSdst7rW39C0sfhArdrz,Barracuda,Heart,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'rock', 'singer-songwriter', 'soft rock']",0.548,0.691,4,-13.553,0,0.0369,0.015,0.106,0.144,0.667,137.145,261933,4
2EC9IJj7g0mN1Q5VrZkiYY,Rebel Rebel - 2016 Remaster,David Bowie,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",0.635,0.686,9,-15.648,1,0.053,0.209,0.0176,0.282,0.464,125.988,274747,4
6cr6UDpkjEaMQ80OjWqEBQ,Sultans of Swing,Dire Straits,"['album rock', 'classic rock', 'mellow gold', 'rock']",0.73,0.868,5,-7.325,1,0.0288,0.0632,0.0661,0.318,0.923,148.217,350400,4
37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer,Bon Jovi,"['glam metal', 'rock']",0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511,249293,4
1xsYj84j7hUDDnTTerGWlH,Dream On,Aerosmith,"['album rock', 'classic rock', 'hard rock', 'rock']",0.392,0.476,1,-7.583,1,0.0249,0.397,0.000163,0.309,0.234,78.031,267597,4
0PdM2a6oIjqepoEfcJo0RO,Pour Some Sugar On Me - Remastered 2017,Def Leppard,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'nwobhm', 'rock']",0.267,0.953,1,-4.899,0,0.096,0.00211,0,0.283,0.568,84.989,267307,4
5sFDReWLrZHLFZFjHsjUTS,Would? (2022 Remaster),Alice In Chains,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'rock']",0.305,0.833,6,-7.981,1,0.0398,0.000327,2.36e-05,0.091,0.586,100.675,206773,4
05RgAMGypEvqhNs5hPCbMS,Panama - 2015 Remaster,Van Halen,"['album rock', 'classic rock', 'hard rock', 'rock']",0.526,0.978,8,-5.436,1,0.108,0.00122,4.75e-05,0.0744,0.451,141.167,210227,4
2RaA6kIcvomt77qlIgGhCT,Breaking the Law,Judas Priest,"['album rock', 'alternative metal', 'birmingham metal', 'glam metal', 'hard rock', 'metal', 'rock']",0.362,0.961,2,-5.664,1,0.0857,0.024,9.35e-06,0.159,0.491,164.019,153840,4
6hTcuIQa0sxrrByu9wTD7s,Born to Run,Bruce Springsteen,"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",0.27,0.944,4,-4.199,1,0.0975,0.00501,2.05e-05,0.116,0.606,146.347,269920,4
6QewNVIDKdSl8Y3ycuHIei,Even Flow,Pearl Jam,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock']",0.394,0.944,10,-6.506,0,0.0761,0.00178,4.54e-06,0.298,0.265,105.338,292581,4
1CM1wOqD2AIjt2MWd31LV2,Solsbury Hill,Peter Gabriel,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'new romantic', 'new wave', 'permanent wave', 'progressive rock', 'rock', 'singer-songwriter', 'soft rock']",0.683,0.63,11,-8.844,1,0.0296,0.363,0.000873,0.314,0.481,102.457,261440,1
549Go7a66CX6k523uK9kUv,"Girls, Girls, Girls",Mötley Crüe,"['album rock', 'alternative metal', 'glam metal', 'hard rock', 'metal', 'rock', 'sleaze rock']",0.599,0.931,7,-4.653,1,0.0735,0.0302,6.69e-05,0.392,0.536,140.123,270427,4
3EYOJ48Et32uATr9ZmLnAo,Roxanne,The Police,"['album rock', 'classic rock', 'permanent wave', 'rock']",0.618,0.748,0,-8.905,1,0.358,0.0384,4.1e-06,0.0473,0.663,134.114,191947,4
0uppYCG86ajpV2hSR3dJJ0,Give It Away,Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",0.666,0.936,7,-9.919,1,0.0476,0.00244,0.086,0.153,0.776,91.577,282907,4
5HNCy40Ni5BZJFw1TKzRsC,Comfortably Numb,Pink Floyd,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",0.472,0.366,11,-12.595,0,0.0286,0.15,0.312,0.0837,0.171,127.163,382297,4
4P5KoWXOxwuobLmHXLMobV,Come As You Are,Nirvana,"['grunge', 'permanent wave', 'rock']",0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,218920,4
5UwbnHhjnbinJH8TefuQfN,Long Cool Woman (In a Black Dress) - 1999 Remaster,The Hollies,"['album rock', 'british invasion', 'classic rock', 'folk rock', 'mellow gold', 'merseybeat', 'soft rock']",0.757,0.868,9,-9.326,1,0.062,0.411,0.00221,0.355,0.815,138.923,199200,4
254bXAqt3zP6P50BdQvEsq,Everywhere - 2017 Remaster,Fleetwood Mac,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",0.73,0.487,4,-10.991,1,0.0303,0.258,0.01,0.0852,0.731,114.965,226653,4
6H3kDe7CGoWYBabAeVWGiD,Gimme Shelter,The Rolling Stones,"['album rock', 'british invasion', 'classic rock', 'rock']",0.634,0.63,1,-8.277,0,0.031,0.447,0.039,0.17,0.489,118.628,270773,4
5AoZknxgY6F25gAcVahO41,Southern Cross - 2005 Remaster,"Crosby, Stills & Nash","['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",0.668,0.447,2,-11.124,1,0.0312,0.48,2.89e-06,0.153,0.588,81.415,281000,4
3qiyyUfYe7CRYLucrPmulD,Baba O'Riley,The Who,"['album rock', 'british invasion', 'classic rock', 'hard rock', 'rock']",0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,300400,4
6txWz9UapYHVxEd7dDIHXT,No Rain,Blind Melon,"['alternative metal', 'alternative rock', 'grunge', 'pop rock', 'rock']",0.389,0.476,9,-9.342,1,0.0316,0.619,5.09e-05,0.255,0.566,148.117,217107,4
0QeI79sp1vS8L3JgpEO7mD,Let's Go Crazy,Prince,"['funk', 'funk rock', 'minneapolis sound', 'rock', 'synth funk']",0.309,0.93,11,-6.399,1,0.125,0.0192,0.0022,0.106,0.376,195.815,280000,4
6cFZ4PLC19taNlpl9pbGMf,Somebody To Love - Remastered 2011,Queen,"['classic rock', 'glam rock', 'rock']",0.497,0.693,8,-7.024,1,0.0565,0.19,0,0.215,0.358,111.539,296493,3
0vOkmmJEtjuFZDzrQSFzEE,Hit Me With Your Best Shot,Pat Benatar,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'heartland rock', 'mellow gold', 'new romantic', 'new wave pop', 'rock', 'singer-songwriter', 'soft rock']",0.741,0.58,4,-9.05,1,0.0304,0.117,3.31e-05,0.212,0.944,127.402,171267,4
3dmqIB2Qxe2XZobw9gXxJ6,Mary Jane's Last Dance,Tom Petty and the Heartbreakers,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",0.464,0.655,7,-9.058,0,0.0608,0.0272,1.34e-06,0.328,0.531,169.515,273600,4
0upLyFR8Rr52ZpMp5esQoq,You Really Got Me - 2015 Remaster,Van Halen,"['album rock', 'classic rock', 'hard rock', 'rock']",0.454,0.946,1,-5.978,0,0.13,0.0223,0,0.173,0.647,138.18,156147,4
39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,The Clash,"['alternative rock', 'permanent wave', 'punk', 'rock']",0.743,0.836,2,-6.465,1,0.116,0.0804,0,0.384,0.82,113.375,188987,4
61Q9oJNd9hJQFhSDh6Qlap,House Of The Rising Sun,The Animals,"['album rock', 'british invasion', 'classic rock', 'hard rock', 'protopunk', 'psychedelic rock', 'rock']",0.315,0.534,9,-7.552,0,0.031,0.000825,0.108,0.101,0.283,116.891,269720,3
1i6N76fftMZhijOzFQ5ZtL,Psycho Killer - 2005 Remaster,Talking Heads,"['alternative rock', 'art punk', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']",0.721,0.521,2,-8.123,1,0.0613,0.0708,0.00545,0.127,0.942,123.118,261413,4
6FsQrRpBLgsrFeAeiQqytm,Bang a Gong (Get It On) - 2003 Remaster,T. Rex,"['classic rock', 'glam rock', 'protopunk', 'rock']",0.729,0.818,2,-9.992,1,0.0732,0.157,0.284,0.195,0.906,125.814,267000,4
31AOj9sFz2gM0O3hMARRBx,Losing My Religion,R.E.M.,"['alternative rock', 'athens indie', 'permanent wave', 'rock']",0.666,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639,268427,4
6ORqU0bHbVCRjXm9AjyHyZ,Good Riddance (Time of Your Life),Green Day,"['modern rock', 'permanent wave', 'punk', 'rock']",0.475,0.432,7,-7.844,1,0.0302,0.183,0,0.161,0.648,94.605,153467,4
0nFKHCf1Ibij8m370l2KlZ,Good Times Roll - 2016 Remaster,The Cars,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'power pop', 'rock', 'singer-songwriter', 'soft rock', 'synthpop']",0.631,0.689,4,-8.358,1,0.0284,0.0731,0.000357,0.102,0.645,107.667,225227,4
2374M0fQpWi3dLnB54qaLX,Africa,TOTO,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,295893,4
5e9TFTbltYBg2xThimr0rU,The Chain - 2004 Remaster,Fleetwood Mac,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,270213,4
5EWPGh7jbTNO2wakv8LjUI,Free Bird,Lynyrd Skynyrd,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223,547107,4
7ACxUo21jtTHzy7ZEV56vU,Crazy Train,Ozzy Osbourne,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'glam metal', 'hard rock', 'metal', 'nu metal', 'rock']",0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,293183,4
6KTv0Z8BmVqM7DPxbGzpVC,Rock And Roll All Nite,KISS,"['glam rock', 'hard rock', 'rock']",0.654,0.929,1,-5.906,1,0.0998,0.0468,0,0.0539,0.902,144.774,168840,4
4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",Pink Floyd,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",0.693,0.394,0,-15.882,1,0.0428,0.0782,0.000694,0.247,0.721,104.114,238747,4
1Y373MqadDRtclJNdnUXVc,Paranoid - 2012 - Remaster,Black Sabbath,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']",0.412,0.658,4,-12.051,0,0.0708,4.52e-05,0.000774,0.176,0.454,163.071,168406,4
3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,"['glam rock', 'mellow gold', 'piano rock', 'rock']",0.601,0.532,10,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,281613,4
3KhF2YiNpJvGpfiCW45R6D,Runnin' with the Devil - 2015 Remaster,Van Halen,"['album rock', 'classic rock', 'hard rock', 'rock']",0.472,0.9,8,-6.406,0,0.0582,0.148,0.000297,0.34,0.42,95.826,214960,4
1RJeiAIwR9pZBgJA8ndZLL,"Paint It, Black - Mono",The Rolling Stones,"['album rock', 'british invasion', 'classic rock', 'rock']",0.505,0.836,5,-7.384,0,0.101,0.0103,0.0771,0.295,0.764,159.669,204480,4
0K6yUnIKNsFtfIpTgGtcHm,Limelight,Rush,"['album rock', 'canadian metal', 'classic canadian rock', 'classic rock', 'hard rock', 'progressive rock', 'rock']",0.581,0.854,1,-8.485,0,0.0428,0.00197,0.0013,0.111,0.788,131.18,259840,4
2aSFLiDPreOVP6KHiWk4lF,Under Pressure - Remastered 2011,Queen,"['classic rock', 'glam rock', 'rock']",0.663,0.712,2,-7.268,1,0.0479,0.524,0,0.0804,0.527,113.439,236520,4
0NWPxcsf5vdjdiFUI8NgkP,Hey Joe,Jimi Hendrix,"['acid rock', 'album rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']",0.346,0.768,9,-5.695,1,0.0377,0.00603,0.38,0.0244,0.532,169.492,210160,4
2N2yrmodOnVF10mKvItC9P,Don't Cry (Original),Guns N' Roses,"['glam metal', 'hard rock', 'rock']",0.456,0.59,11,-8.638,1,0.0327,0.00182,0.00379,0.104,0.243,124.635,283733,4
4vO9dmzNRqDhFY3jD1a3P7,Mississippi Queen,Mountain,"['album rock', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'hard rock', 'proto-metal', 'psychedelic rock']",0.581,0.624,9,-8.346,1,0.0777,0.0987,0,0.0411,0.637,139.714,151293,4
78lgmZwycJ3nzsdgmPPGNx,Immigrant Song - Remaster,Led Zeppelin,"['album rock', 'classic rock', 'hard rock', 'rock']",0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,146250,4
1gcESexgftSuLuML57Y69q,All Right Now,Free,"['album rock', 'blues rock', 'british blues', 'classic rock', 'country rock', 'hard rock', 'progressive rock']",0.787,0.472,2,-12.824,1,0.0832,0.221,0.000336,0.153,0.824,120.059,330643,4
0dOg1ySSI7NkpAe89Zo0b9,Born in the U.S.A.,Bruce Springsteen,"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",0.398,0.952,4,-6.042,1,0.061,0.000373,7.75e-05,0.1,0.584,122.093,278680,4
1HOMkjp0nHMaTnfAkslCQj,My Sharona,The Knack,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave', 'new wave pop', 'power pop', 'soft rock']",0.586,0.7,0,-9.558,1,0.0363,0.0589,0.00125,0.0318,0.897,147.245,295400,4
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,"['album rock', 'classic rock', 'permanent wave', 'rock']",0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,253920,4
5EOoMWIB9iK4ZpcSex9Ec7,Old Time Rock & Roll,Bob Seger,"['album rock', 'classic rock', 'country rock', 'detroit rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",0.714,0.937,6,-2.947,1,0.0399,0.206,0,0.0731,0.964,124.13,194147,4
4cMHCRLPNoEbpnl2rz6GS9,Back on the Chain Gang - 2007 Remaster,Pretenders,"['album rock', 'classic rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'soft rock']",0.598,0.901,2,-6.081,1,0.0359,0.116,0.0401,0.178,0.814,153.24,231120,4
4VqPOruhp5EdPBeR92t6lQ,Uprising,Muse,"['modern rock', 'permanent wave', 'rock']",0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,304840,4
2K2M0TcglCRLLpFOzKeFZA,Sunshine Of Your Love,Cream,"['album rock', 'blues rock', 'british blues', 'classic rock', 'folk rock', 'hard rock', 'psychedelic rock', 'rock', 'singer-songwriter', 'supergroup']",0.683,0.594,2,-8.289,1,0.0347,0.385,8.61e-05,0.121,0.734,115.099,250400,4
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,AC/DC,"['australian rock', 'hard rock', 'rock']",0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,4
7Jh1bpe76CNTCgdgAdBw4Z,Heroes - 2017 Remaster,David Bowie,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",0.489,0.758,7,-6.491,1,0.0297,0.000678,0.49,0.092,0.435,112.113,371413,4
70YvYr2hGlS01bKRIho1HM,La Grange - 2005 Remaster,ZZ Top,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'rock']",0.545,0.64,4,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,230480,4
6gXrEUzibufX9xYPk3HD5p,Life in the Fast Lane - 2013 Remaster,Eagles,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",0.667,0.755,9,-7.246,1,0.069,0.0966,6.94e-05,0.0523,0.883,109.535,286220,4
1GqlvSEtMx5xbGptxOTTyk,Peace of Mind,Boston,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'mellow gold', 'rock', 'soft rock']",0.419,0.677,4,-6.183,1,0.0343,0.00101,9.99e-05,0.211,0.684,127.678,303587,4
6GtX0jaNL8IjVQfrDBx81z,Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']",0.404,0.72,10,-9.18,0,0.0623,5.59e-05,0.836,0.0466,0.475,121.864,258467,4
5uvosCdMlFdTXhoazkTI5R,Light My Fire,The Doors,"['acid rock', 'album rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']",0.413,0.725,3,-5.787,0,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,429760,4
2kkvB3RNRzwjFdGhaUA0tz,Layla,Derek & The Dominos,"['album rock', 'blues rock', 'british blues', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'singer-songwriter']",0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669,423840,4
2Cdvbe2G4hZsnhNMKyGrie,I Love Rock 'N Roll,Joan Jett & the Blackhearts,"['glam punk', 'rock']",0.535,0.716,4,-5.025,1,0.0431,0.326,0,0.659,0.901,94.379,175173,4
48UPSzbZjgc449aqz8bxox,Californication,Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,329733,4
4pbG9SUmWIvsROVLF0zF9s,I Want To Hold Your Hand - Remastered 2015,The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",0.49,0.715,7,-5.549,1,0.0476,0.386,0,0.311,0.866,130.726,145747,4
7e89621JPkKaeDSTQ3avtg,Sweet Home Alabama,Lynyrd Skynyrd,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,283800,4
5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,Nirvana,"['grunge', 'permanent wave', 'rock']",0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920,4
07GvNcU1WdyZJq3XxP0kZa,Go Your Own Way - 2004 Remaster,Fleetwood Mac,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",0.583,0.947,5,-5.12,1,0.0378,0.0185,0.00109,0.0679,0.803,135.448,223613,4
4nuUssdgKFy2QyYHHNkZQW,Sunday Bloody Sunday - Remastered 2008,U2,"['irish rock', 'permanent wave', 'rock']",0.543,0.944,6,-7.495,1,0.0543,0.402,0.000564,0.0373,0.735,101.174,279440,4
4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',Journey,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",0.5,0.748,4,-9.072,1,0.0363,0.127,0,0.447,0.514,118.852,250987,4
5OQsiBsky2k2kDKy2bX2eT,Learn to Fly,Foo Fighters,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",0.465,0.919,4,-4.025,1,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,235293,4
43DeSV93pJPT4lCZaWZ6b1,The Boys Are Back In Town,Thin Lizzy,"['album rock', 'blues rock', 'classic rock', 'glam metal', 'hard rock', 'irish rock', 'metal', 'rock']",0.445,0.706,8,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823,266720,4
7EZC6E7UjZe63f1jRmkWxt,Zombie,The Cranberries,"['irish rock', 'pop rock', 'rock']",0.309,0.649,7,-8.994,1,0.035,0.0158,0.00591,0.367,0.312,166.915,306440,4
0cJPLFrlV7TTCyPLupHzcH,Won't Get Fooled Again - Original Album Version,The Who,"['album rock', 'british invasion', 'classic rock', 'hard rock', 'rock']",0.686,0.92,2,-6.231,1,0.0566,0.301,0.27,0.0807,0.225,135.027,511400,4
3IOQZRcEkplCXg6LofKqE9,Iron Man - 2012 - Remaster,Black Sabbath,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']",0.336,0.792,9,-10.875,1,0.084,0.00351,0.00175,0.0437,0.427,155.587,355304,4
29SyMC0plk6qw8NMF7lfRL,You Really Got Me,The Kinks,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock', 'singer-songwriter']",0.573,0.939,8,-6.441,1,0.0808,0.493,0,0.0994,0.963,137.382,134253,4
7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,Guns N' Roses,"['glam metal', 'hard rock', 'rock']",0.446,0.952,6,-5.321,1,0.0523,0.0901,0.0857,0.112,0.624,125.303,356067,4
5SAUIWdZ04OxYfJFDchC7S,Smoke on the Water,Deep Purple,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",0.632,0.586,0,-11.333,1,0.0284,0.0983,0.581,0.0535,0.89,114.243,342173,4
3qLZ866ZfaK0B0R5FIqXLG,She Sells Sanctuary,The Cult,"['album rock', 'hard rock', 'new wave', 'rock']",0.55,0.765,7,-8.684,1,0.0287,4.76e-06,0.873,0.132,0.419,139.46,252533,4
3RZMzCvYsmJ0u2ioKTOsmJ,Honky Tonk Women - Mono Version,The Rolling Stones,"['album rock', 'british invasion', 'classic rock', 'rock']",0.562,0.779,7,-6.705,1,0.0592,0.363,0.0292,0.066,0.967,119.602,179387,4
7ygpwy2qP3NbrxVkHvUhXY,Wonderwall - Remastered,Oasis,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",0.375,0.893,2,-4.097,1,0.0406,0.000509,0,0.187,0.434,174.323,258773,4
6qLEOZvf5gI7kWE63JE7p3,Interstate Love Song - 2019 Remaster,Stone Temple Pilots,"['alternative metal', 'alternative rock', 'classic rock', 'grunge', 'hard rock', 'nu metal', 'post-grunge', 'rock']",0.215,0.927,9,-7.327,1,0.0452,0.000273,0.00661,0.126,0.49,170.814,194853,4
